ano,estado,consumo_residencial_absoluto,consumo_industrial_absoluto,populacao_absoluta,pib_absoluto,ideb,consumo_residencial_per_capita,consumo_industrial_per_capita,pib_per_capita,populacao_absoluta_yoy,consumo_residencial_absoluto_yoy,consumo_industrial_absoluto_yoy,populacao_absoluta_yoy_acumulado,consumo_residencial_absoluto_yoy_acumulado,lat,long,regiao,sigla
2020,Rondônia,1448029.0,471414.0,1796460.0,51598741456.0,5.400000000000001,0.8060457789207663,0.2624127450652951,28722.45497033054,1.0823052792977794,12.15519551636055,3.5244254608939984,15.0,236.60000000000002,-8.76194,-63.903538,Norte,RO
2004,Roraima,173274.0,18956.0,381896.0,2822756978.0,3.6,0.45372038460732766,0.04963655026499361,7391.428498858328,,,,0.0,0.0,2.82351,-60.675833,Norte,RR
2005,Roraima,176580.0,13053.0,391317.0,3193430415.0,3.6,0.45124540973175203,0.03335658813698357,8160.724974892479,2.4669019837861628,1.9079608019668237,-31.14053597805444,2.5,1.9,2.82351,-60.675833,Norte,RR
2006,Roraima,174996.0,14263.0,403344.0,3802452111.0,3.85,0.43386290610496253,0.03536187472727994,9427.317899857193,3.073467291224241,-0.8970438328236519,9.269899639929523,5.6000000000000005,1.0,2.82351,-60.675833,Norte,RR
2007,Roraima,195557.0,14663.0,395725.0,4203302125.0,4.1,0.49417398445890454,0.03705350938151494,10621.77553856845,-1.8889583085406003,11.74941141511805,2.8044590899530153,3.5999999999999996,12.9,2.82351,-60.675833,Norte,RR
2008,Roraima,211084.0,15420.0,412783.0,4841862423.0,4.15,0.5113679584672819,0.03735618957176046,11729.80094383732,4.310569208414927,7.939884534943786,5.162654299938629,8.1,21.8,2.82351,-60.675833,Norte,RR
2009,Roraima,235668.0,15138.0,421499.0,5671974582.0,4.2,0.5591187642200812,0.0359146759541541,13456.673875857357,2.11152106554775,11.646548293570325,-1.8287937743190708,10.4,36.0,2.82351,-60.675833,Norte,RR
2010,Roraima,263850.0,17101.0,450479.0,6639150477.0,4.35,0.5857098777079509,0.037961813980229936,14737.97996576977,6.875461151746509,11.958348184734447,12.967366891267007,18.0,52.300000000000004,2.82351,-60.675833,Norte,RR
2011,Roraima,291941.0,15802.0,460165.0,7303719268.0,4.5,0.6344267816978693,0.03433985635587235,15871.957380504819,2.150155723130265,10.646579495925712,-7.59604701479446,20.5,68.5,2.82351,-60.675833,Norte,RR
2012,Roraima,329320.0,18643.0,469524.0,7711467115.0,4.65,0.7013911961901841,0.03970617050459614,16424.01051916409,2.0338356893722986,12.803614428942844,17.9787368687508,22.900000000000002,90.10000000000001,2.82351,-60.675833,Norte,RR
2013,Roraima,357092.0,18060.0,488072.0,9010725277.0,4.8,0.7316379550558114,0.03700273730105394,18461.87709395335,3.9503837929477426,8.433134944734611,-3.12717910207585,27.800000000000004,106.1,2.82351,-60.675833,Norte,RR
2014,Roraima,415507.0,20091.0,496936.0,9744122309.0,4.95,0.8361378527617238,0.04042975352962957,19608.404923370414,1.8161254896818413,16.35852945459433,11.245847176079726,30.099999999999998,139.79999999999998,2.82351,-60.675833,Norte,RR
