Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2023*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Centro-Oeste,  3.174.327 ,  3.205.252 ,  3.221.899 ,  3.125.511 ,  3.060.527 ,  2.943.299 ,  3.080.717 ,  3.250.420 ,  3.395.254 ,  3.654.538 ,  3.418.960 ,  3.413.597 ,  38.944.303 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  244.792 ,  242.321 ,  258.421 ,  243.519 ,  226.173 ,  226.718 ,  239.861 ,  248.232 ,  264.520 ,  271.478 ,  265.767 ,  265.633 ,  2.997.434 
Norte,  2.938.356 ,  2.838.344 ,  2.826.208 ,  2.672.450 ,  2.730.799 ,  2.826.972 ,  2.991.221 ,  3.103.326 ,  3.125.072 ,  3.237.951 ,  3.085.089 ,  3.031.145 ,  35.406.933 
Nordeste,  6.518.270 ,  6.226.032 ,  6.336.125 ,  5.766.810 ,  5.748.623 ,  5.594.620 ,  5.877.721 ,  5.860.123 ,  6.144.747 ,  6.637.922 ,  6.308.776 ,  6.415.198 ,  73.434.969 
Sudeste/C.Oeste,  23.647.312 ,  23.537.245 ,  23.767.453 ,  21.499.967 ,  20.746.470 ,  20.554.380 ,  21.781.065 ,  22.920.541 ,  23.554.528 ,  25.256.842 ,  24.154.212 ,  24.606.533 ,  276.026.547 
Sul,  7.980.476 ,  8.120.196 ,  7.950.414 ,  7.081.307 ,  6.672.170 ,  6.566.360 ,  6.979.431 ,  7.110.004 ,  7.263.503 ,  7.519.421 ,  7.616.851 ,  7.842.894 ,  88.703.026 
,,,,,,,,,,,,,
,2019,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  41.647.188 ,  41.164.000 ,  41.147.992 ,  39.723.395 ,  40.480.651 ,  38.440.784 ,  38.345.919 ,  38.641.546 ,  39.262.189 ,  41.067.779 ,  41.792.473 ,  40.801.898 ,  482.515.814 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  2.563.184 ,  2.421.379 ,  2.600.591 ,  2.567.809 ,  2.688.743 ,  2.719.684 ,  2.820.493 ,  2.881.216 ,  2.938.026 ,  2.965.331 ,  2.925.432 ,  2.994.753 ,  33.086.640 
